date,price,portfolio,action
2026-01-06,1507.5999755859375,99900.49840161134,BUY
2026-01-07,1504.199951171875,99676.09679028322,BUY
2026-01-08,1470.5999755859375,97458.49840161134,BUY
2026-01-09,1475.300048828125,97768.70323559572,BUY
2026-01-12,1483.199951171875,98290.09679028322,BUY
2026-01-13,1452.800048828125,96283.70323559572,BUY
2026-01-14,1458.800048828125,96679.70323559572,BUY
2026-01-16,1457.9000244140625,96620.3016242676,BUY
2026-01-19,1413.5999755859375,93696.49840161134,BUY
2026-01-20,1394.0,92402.90001293947,BUY
2026-01-21,1404.5999755859375,93102.49840161134,BUY
2026-01-22,1402.5,92963.90001293947,BUY
2026-01-23,1386.0999755859375,91881.49840161134,BUY
2026-01-27,1380.5,91511.90001293947,BUY
2026-01-28,1396.699951171875,92581.09679028322,BUY
2026-01-29,1391.0,92204.90001293947,BUY
2026-01-30,1395.4000244140625,92495.3016242676,BUY
2026-02-02,1390.4000244140625,92165.3016242676,BUY
2026-02-03,1437.0999755859375,95247.49840161134,BUY
2026-02-04,1456.800048828125,96547.70323559572,BUY
2026-02-05,1443.4000244140625,95663.3016242676,BUY
2026-02-06,1450.800048828125,96151.70323559572,BUY
2026-02-09,1461.5999755859375,96864.49840161134,BUY
2026-02-10,1458.5,96563.63901293947,SELL
2026-02-11,1468.699951171875,96563.63901293947,SELL
2026-02-12,1448.9000244140625,96563.63901293947,SELL
2026-02-13,1419.5999755859375,96563.63901293947,SELL
2026-02-16,1437.0999755859375,96467.35331457523,BUY
2026-02-17,1423.0,95522.65495031742,BUY
2026-02-18,1441.300048828125,96748.75822180179,BUY
2026-02-19,1409.5,94618.15495031742,BUY
2026-02-20,1419.4000244140625,95281.4565860596,BUY
2026-02-23,1428.0,95857.65495031742,BUY
2026-02-24,1428.800048828125,95911.25822180179,BUY
2026-02-25,1398.5,93881.15495031742,BUY
2026-02-26,1406.800048828125,94437.25822180179,BUY
2026-02-27,1393.9000244140625,93479.56528442386,SELL
2026-03-02,1358.0,93479.56528442386,SELL
2026-03-04,1345.0,93479.56528442386,SELL
2026-03-05,1389.4000244140625,93479.56528442386,HOLD
2026-03-06,1404.800048828125,93386.84848120122,BUY
2026-03-09,1424.0,94654.04525854497,BUY
2026-03-10,1408.800048828125,93650.84848120122,BUY
2026-03-11,1390.199951171875,92423.24203588872,BUY
2026-03-12,1392.199951171875,92555.24203588872,BUY
2026-03-13,1380.699951171875,91705.11583911137,SELL
2026-03-16,1395.0999755859375,91705.11583911137,SELL
2026-03-17,1397.5999755859375,91705.11583911137,SELL
2026-03-18,1408.0999755859375,91613.5893406983,BUY
2026-03-19,1384.800048828125,90099.09410144048,BUY
2026-03-20,1414.4000244140625,91931.1565129395,SELL
2026-03-23,1407.800048828125,91931.1565129395,SELL
2026-03-24,1411.800048828125,91931.1565129395,SELL
2026-03-25,1413.0999755859375,91931.1565129395,SELL
2026-03-27,1348.0999755859375,91931.1565129395,SELL
