date,action,price,portfolio_value
2026-01-06,BUY,1507.5999755859375,99900.49840161134
2026-02-10,SELL,1458.5,96563.63901293947
2026-02-16,BUY,1437.0999755859375,96467.35331457523
2026-02-27,SELL,1393.9000244140625,93479.56528442386
2026-03-06,BUY,1404.800048828125,93386.84848120122
2026-03-13,SELL,1380.699951171875,91705.11583911137
2026-03-18,BUY,1408.0999755859375,91613.5893406983
2026-03-20,SELL,1414.4000244140625,91931.1565129395
