Date,Open,High,Low,Close,Volume
2024-10-14,1373.962442591221,1374.5849563155427,1362.8070452852592,1367.0650634765625,12221432
2024-10-15,1353.1207855156183,1366.243302159234,1335.3666207605413,1338.678466796875,33762794
2024-10-16,1334.6695151768993,1358.5740438069333,1332.3039628645522,1348.6884765625,20034438
2024-10-17,1360.2671814831224,1363.0062419523483,1346.6715786036464,1351.0291748046875,15543660
2024-10-18,1346.796043723323,1362.9814005892638,1335.9891081789099,1353.8927001953125,12082452
2024-10-21,1361.686598848784,1368.5342502099143,1352.3239675798945,1363.7532958984375,14067408
2024-10-22,1363.7532474009167,1370.5262455038624,1334.8935348257999,1338.006103515625,15831960
2024-10-23,1332.1793705575924,1352.0748848775756,1329.689315659354,1333.2003173828125,17214742
2024-10-24,1329.9633130042932,1338.3547254831988,1317.8616212723593,1334.4703369140625,22155934
2024-10-25,1338.1555171764887,1339.002111534351,1316.7410448137834,1322.5677490234375,18597496
2024-10-28,1331.6813526124565,1347.6177038778262,1316.8406011796387,1329.0418701171875,10824350
2024-10-29,1322.8167478889227,1337.856655249044,1315.0478495098762,1334.66943359375,12008361
2024-10-30,1329.6893351932274,1344.62966480214,1320.0776988278842,1338.553955078125,11984423
2024-10-31,1334.6694245700712,1337.6574904459744,1320.8745447599274,1326.7510986328125,9331650
2024-11-01,1327.7471304089104,1336.6116286385318,1327.6972806767253,1333.3248291015625,2127335
2024-11-04,1332.5280301195805,1334.6695017714562,1279.9878687625326,1296.9700927734375,19796890
2024-11-05,1287.8564249120313,1304.3406373759979,1281.0336986406933,1300.1075439453125,16267479
2024-11-06,1304.7888451117578,1323.0160966964434,1295.0277806900112,1320.0777587890625,21625209
2024-11-07,1318.7331565363688,1318.7331565363688,1297.4182609581876,1300.4561767578125,9611974
2024-11-08,1292.4879180085577,1296.4720058402277,1269.9279963447846,1278.6431884765625,19814406
2024-11-11,1273.8622221377802,1280.884225507143,1261.9598084895413,1267.6370849609375,9056552
2024-11-12,1270.4759075040322,1284.1712099692156,1262.4578817905294,1269.1810302734375,10671091
2024-11-13,1265.196886863478,1270.3761523895544,1244.5294313213271,1247.0693359375,14633633
2024-11-14,1248.613186761178,1267.537605244334,1246.1231316976048,1262.5574951171875,12612633
2024-11-18,1262.55746761959,1267.8364328732807,1238.951794764919,1255.7347412109375,13620611
2024-11-19,1255.734688515481,1276.4021442257297,1230.236550606767,1236.710693359375,14183746
2024-11-21,1236.7107220331202,1239.0014996478671,1212.407761281373,1218.1348876953125,19433843
2024-11-22,1224.509420421979,1263.8024380613526,1217.586994857739,1260.3662109375,20471957
2024-11-25,1284.868314871977,1299.260783408558,1277.3483005192684,1281.8802490234375,28923341
2024-11-26,1289.7986377983043,1292.687125909721,1279.0914013187908,1290.545654296875,9247557
2024-11-27,1288.3543972122054,1298.6632001168684,1280.8842325588682,1288.0555419921875,9572746
2024-11-28,1284.818474176107,1291.442044503892,1264.0017125526565,1265.7447509765625,15027412
2024-11-29,1274.9081506356404,1294.3305794929802,1270.177046170391,1287.0595703125,13202307
2024-12-02,1282.876370557777,1306.133460567327,1271.9699779978703,1303.9422607421875,11024152
2024-12-03,1311.7609017834461,1321.5219654799555,1301.8006823317874,1318.035888671875,16869482
2024-12-04,1320.7251432865569,1323.1156203515295,1298.8625094957517,1303.742919921875,19608540
2024-12-05,1309.1214514378748,1324.6593698468237,1300.9541199209712,1316.7908935546875,16858723
2024-12-06,1318.6334884089777,1318.6334884089777,1304.7887589399247,1306.3326416015625,9037514
2024-12-09,1297.8166732313093,1309.7689372979064,1287.9560310594236,1289.9979248046875,14650002
2024-12-10,1284.121290398709,1289.7488386952925,1275.107243177966,1279.73876953125,16043729
2024-12-11,1279.8882324099652,1284.8683422637005,1270.9738844056644,1273.115234375,11724373
2024-12-12,1264.9479526569407,1273.1152845047754,1255.5853214463157,1257.876220703125,20906813
2024-12-13,1254.9877622795104,1270.1272485556606,1234.6688884780408,1267.78662109375,28630222
2024-12-16,1269.9280595585296,1275.904191603511,1261.511722229068,1263.2547607421875,9486781
2024-12-17,1256.033537225462,1258.8721754853295,1237.8561365143116,1240.34619140625,17462791
2024-12-18,1235.714673937889,1254.9378248920182,1235.714673937889,1248.2645263671875,12670179
2024-12-19,1234.0712121990753,1239.947766097918,1224.1109925687356,1225.55517578125,14244653
2024-12-20,1219.1309339507777,1234.5692750261348,1196.7204388413884,1200.50537109375,20312896
2024-12-23,1210.1667348774333,1222.3181546925216,1208.3738466363206,1217.437744140625,10052824
2024-12-24,1217.4377030050357,1228.6429501715868,1216.1428258096823,1217.8858642578125,6734917
2024-12-26,1219.3798917928577,1222.8161189414398,1209.4196721335327,1211.7105712890625,10016178
2024-12-27,1213.4536884394554,1223.0154756156849,1212.1588111658666,1216.1927490234375,7000397
2024-12-30,1211.5611874241417,1218.3340640862093,1203.294156174512,1205.8837890625,8818766
2024-12-31,1203.1945530395503,1214.2503727116298,1201.3519366916562,1210.6148681640625,6405475
2025-01-01,1210.0172807004092,1221.4218053468785,1206.7802092584152,1216.391845703125,5892590
2025-01-02,1216.3918076943417,1239.4994683243335,1215.1467802555553,1236.860107421875,15486276
2025-01-03,1238.9518139936486,1257.0296379589822,1230.5852047154665,1246.1729736328125,15521102
2025-01-06,1248.961727102304,1256.9797527645217,1210.1667191829588,1213.15478515625,14816766
2025-01-07,1217.1388288273843,1239.5493228115217,1216.3918123612464,1235.913818359375,10070505
2025-01-08,1244.0314575822304,1265.9937909556584,1240.395953024955,1260.4658203125,19346579
2025-01-09,1261.9598138402198,1264.6988742096441,1243.0852464738894,1249.758544921875,12794704
2025-01-10,1248.8621307808614,1251.750618829338,1231.0831628192257,1236.959716796875,8120332
2025-01-13,1225.1070543419412,1240.2963897717905,1221.5213994754447,1234.9178466796875,13764861
