Date,Open,High,Low,Close,Volume,sma_10,sma_30,ema_12,ema_26,macd,macd_sig,rsi,bb_upper,bb_lower,bb_width,vwap,obv,ret_1d,ret_5d,target
2024-12-02,1282.876370557777,1306.133460567327,1271.9699779978705,1303.9422607421875,11024152,1268.8174560546875,1297.9701985677084,1279.7459810415728,1291.5775755202021,-11.831594478629313,-19.531956439072726,53.002552894547485,1332.6861842370529,1223.7337254309157,0.08355619883362231,1305.0969369932027,37605064,0.013117256434050262,0.017210665142518122,1
2024-12-03,1311.760901783446,1321.5219654799555,1301.8006823317874,1318.035888671875,16869482,1275.0475708007812,1296.774971516927,1285.6367360616193,1293.5374505684742,-7.900714506854911,-17.205708052629163,56.26654597313374,1329.1660374026633,1225.7249782223366,0.07848121592846725,1305.3717172153843,54474546,0.010808475462453115,0.021301249036383307,0
2024-12-04,1320.7251432865569,1323.1156203515295,1298.8625094957515,1303.742919921875,19608540,1281.7507934570312,1294.7746256510416,1288.4223028093509,1294.2934112613189,-5.871108451967984,-14.938788132496928,52.29958838116201,1330.0968948669488,1225.471403472895,0.08025009363067019,1305.485240929905,34866006,-0.010844142312697147,0.01217911605381894,1
2024-12-05,1309.1214514378748,1324.6593698468237,1300.9541199209712,1316.7908935546875,16858723,1291.6163940429688,1294.067451985677,1292.7867013855564,1295.959891431198,-3.1731900456416042,-12.585668515125864,55.391521039410804,1332.8260508906262,1224.410582410155,0.08233309404791125,1305.7411009296086,51724729,0.010008087816572253,0.040328938783859236,0
2024-12-06,1318.6334884089777,1318.6334884089777,1304.7887589399247,1306.3326416015625,9037514,1296.213037109375,1293.1718627929688,1294.870692188019,1296.7282432956695,-1.857551107650579,-10.440045033630808,52.45652109091006,1330.3374426734247,1225.5246789086066,0.0802343602440476,1305.8063065510673,42687215,-0.007942226821521237,0.014974498254484825,0
2024-12-09,1297.816673231309,1309.7689372979064,1287.9560310594236,1289.9979248046875,14650002,1297.0248046875,1291.6894490559896,1294.1210356675065,1296.2297011852265,-2.1086655177200555,-8.773769130448658,48.1638901051581,1329.1090261668244,1225.7072702198946,0.08015652890494797,1305.5620122190646,28037213,-0.01250425525373744,-0.010693982668805502,0
2024-12-10,1284.121290398709,1289.7488386952923,1275.107243177966,1279.73876953125,16043729,1295.9441162109374,1290.26181640625,1291.9083793388518,1295.0081506923393,-3.09977135348754,-7.638969575056435,45.63788481241785,1329.1712445123958,1225.754609979792,0.08081073809343443,1304.9296253746247,11993484,-0.00795284633887361,-0.029056203605514308,0
2024-12-11,1279.8882324099652,1284.8683422637005,1270.9738844056644,1273.115234375,11724373,1294.4500854492187,1288.3975952148437,1289.01712626749,1293.3864531873512,-4.369326919861123,-6.985041044017374,44.03225097056122,1329.2918638084407,1226.1818056251532,0.0809903576669605,1304.3897934849965,269111,-0.005175693128900094,-0.023492120324389076,0
2024-12-12,1264.9479526569407,1273.1152845047754,1255.5853214463157,1257.876220703125,20906813,1293.663232421875,1285.837821451823,1284.226217719126,1290.7560655959269,-6.529847876800886,-6.8940024105740765,40.50167406582997,1329.333759428306,1225.0094290482564,0.08293688096093793,1303.0162359358274,-20637702,-0.0119698620049552,-0.044741099851109856,1
2024-12-13,1254.9877622795104,1270.1272485556606,1234.6688884780408,1267.78662109375,28630222,1291.7359375,1283.4789103190103,1281.6970490075296,1289.0546252624322,-7.357576254902597,-6.986717179439781,43.6651942863575,1328.7345380821166,1227.6803789100709,0.07970912256895712,1301.0750818062918,7992520,0.007878676953671393,-0.029507048419577964,0
2024-12-16,1269.9280595585296,1275.904191603511,1261.511722229068,1263.2547607421875,9486781,1287.6671875,1281.3623657226562,1278.8597738897845,1287.1435241868585,-8.283750297073993,-7.246123802966624,42.5510382165985,1328.7271043654712,1227.7575391892162,0.07992810976380829,1300.5984456728631,-1494261,-0.003574623896608675,-0.02073116828195598,0
2024-12-17,1256.033537225462,1258.8721754853295,1237.8561365143116,1240.34619140625,17462791,1279.8982177734374,1278.263077799479,1272.934607353856,1283.6770550919985,-10.742447738142346,-7.945388590001769,37.361370360825696,1329.743825990586,1225.2019625836326,0.0842844232773661,1299.2245000331636,-18957052,-0.018134560064890004,-0.030781733790427368,1
2024-12-18,1235.714673937889,1254.9378248920182,1235.714673937889,1248.2645263671875,12670179,1274.3503784179688,1276.639558919271,1269.139210278984,1281.0539048160865,-11.914694537102605,-8.739249779421936,40.08162772157884,1328.7381557844783,1227.3630160905218,0.08121286598521518,1298.2808577513063,-6286873,0.006383971681293232,-0.01951960618868276,0
2024-12-19,1234.0712121990753,1239.947766097918,1224.1109925687356,1225.55517578125,14244653,1265.226806640625,1274.1544799804688,1262.4339742024094,1276.942887850543,-14.508913648133557,-9.89318255316426,35.34132475085809,1327.4303196534083,1229.4128810301854,0.07997798920863772,1296.9363524536245,-20531526,-0.018192738883663018,-0.025694932768351553,0
2024-12-20,1219.1309339507775,1234.5692750261348,1196.7204388413884,1200.50537109375,20312896,1254.6440795898438,1270.1687337239584,1252.9064968010773,1271.280849572262,-18.374352771184704,-11.58941659676835,30.987845803371386,1334.716075634743,1216.1410410644758,0.09877093216354087,1294.582585339986,-40844422,-0.02043955684943488,-0.05306985330224956,1
2024-12-23,1210.166734877433,1222.3181546925216,1208.3738466363206,1217.437744140625,10052824,1247.3880615234375,1267.4014526367187,1247.4497656225462,1267.2924713921407,-19.84270576959443,-13.240074431333568,36.666978293912535,1336.5317266181557,1207.8811395927817,0.10567323679962544,1293.5370356616609,-30791598,0.014104370921263154,-0.03626902349819294,1
2024-12-24,1217.4377030050357,1228.6429501715868,1216.1428258096823,1217.8858642578125,6734917,1241.2027709960937,1265.3762084960938,1242.9014731048949,1263.6327227155236,-20.731249610628765,-14.738309467192607,36.81517225912717,1336.4544303952034,1200.692456811828,0.11147347840030127,1292.8948507927005,-24056681,0.0003680846263756088,-0.01810811151278091,0
